efp_project,regex
efp_camelina,"^(Csa\d{0,5}[gs]\d{0,6}.\d{0,3})$|^(At\d[cgm]\d{0,6})$"
efp_cannabis,(^C\d+$)|(^scaffold\d+$)|(^AGQN\d+$)
efp_canola,"^(Bna\D\d{1,3}g\d{1,8}\D)$|^(BoC\d+g\d+\.\d+V\d)$|^(BrChr\d+g\d+\.\d+V\d)$|^(Contig\d+)$"
efp_durum_wheat,"^(TrturSVE\d\D\d{1,3}G\d{1,12})$|^(TrturSVE\d\D\d{1,3}G\d{1,12}_ncBOCREA)$"
efp_euphorbia,"^(Ep_chr\d_g\d{1,8})$"
efp_eutrema,^(Thhalv\d{8}m\.g)$|^(XLOC_\d{6})$|^(nXLOC\d{6})$|^(At\dg\d{5})$
efp_grape,^(CHR|VIT_|CHRUN)
efp_kalanchoe,^(Kaladp\d+s\d+)$
efp_little_millet,^(TRINITY_DN\d+_c\d+_g\d+_i\d+)$
efp_lupin,"^(Luan_Oskar_.{1,12}_\d{1,12})$"
efp_maize_enzyme,"(?i)^[a-z0-9\s\-\(\)]{1,50}$"
efp_maize_metabolite,"(?i)^[a-z0-9\s,\.\-\(\)_'\+]{1,60}$"
efp_maize_lipid_map,"(?i)^[a-z0-9\s:;\/\[\]_\+\-]{1,64}$"
efp_tomato_trait,"^[A-Za-z][A-Za-z0-9\s\.,\-\(\)]{1,100}$"
efp_maize_transcriptomics,"^(AC[0-9]{6}\.[0-9]{1}_FG[0-9]{3})$|^(AC[0-9]{6}\.[0-9]{1}_FGT[0-9]{3})$|^(GRMZM(2|5)G[0-9]{6})$|^(GRMZM(2|5)G[0-9]{6}_T[0-9]{2})$|^(Zm\d+d\d+)$|^(Zm\d{1,10}eb\d{1,10})$|^(Zm\d{6}(_[xsa])?_at)$"
efp_mangosteen,"^(DN\d{1,10})$"
efp_marchantia,^(Mp[a-z]?g\d+\.\d+)$|^(Mp[a-z]?\d+g\d+\.\d+)$
efp_oat,"(^N0\.HOG\d{1,10}$|^\D{1,10}\.*\d{1,10}.{1,10}\d{1,10}$)"
efp_phelipanche,"^(OrAeBC\d+_\d+\.\d+)$|^(OrAeBC\d+_\d+)$|^(At\d[gcm]\d{1,6})$"
efp_physcomitrella,^(Pp)\d+s\d+_\d+V\d\.\d$|^Phypa_\d+$
efp_potato,^(PGSC0003DMG4\d{8})$
efp_rice_metabolite,"(?i)^[a-z0-9,\s\.\-]{1,40}$"
efp_rice_transcriptomics,^(LOC_Os[0-9]{2}g[0-9]{5})$|^(Os(Affx)?\.\d+\.\d+\.(S1|A1|S2)_(at|x_at|s_at|a_at))$
efp_selaginella,^(Smo\d+)$
efp_sorghum,"^(Sobic.\d{0,5}G\d{0,10}$|^Sobic.K\d{0,10}$|^ENSRNA\d{0,12}$|^SORBI_\d{1,6}G\d{1,10})$"
efp_strawberry,"^(FvH4_c?\d{1,3}g\d{1,7})$|^(gene\d{1,10})$"
efp_striga,"^(StHeBC3\_\d+\.\d{1,5})$|^(At\d[gcm]\d{1,6})$"
efp_tomato,"^(Solyc\d{2}g\d{6}\.?\d{0,3})$|^(TU\d{6})$"
efp_triphysaria,"^(TrVeBC\d+_\d+\.\d{1,5})$|^(At\d[gcm]\d{1,6})$"
efp_tung_tree,^(Vf\d+G\d+)$
efp_wheat,"^(TraesCS\d\D\d{0,2}[G]\d{0,6}L*C*\.*\d*)$|^(TraesCSU\d+G\d+L*C*\.*\d*)$"
efpconfig,".{0,16}"
mouse_efp,"^(XM_\d{0,8}\.\d{0,3})$|^(\d{1,10}\D\d{0,4}\D{0,4})$|^(\D{1,8}\d{0,8}\D{0,8})$|^(ENSMUSG\d{1,15})$|^(NM_\d{0,12}\d.\d{0,3})$"
