key,regex
efp_brassica_rapa,"^(Bra.\d+g\d{0,10})$"
efp_cacao_ccn,"^(CCN-51_Chr\d{1,3}v\d{1,3}_\d{1,9})$"
efp_cacao_sca,"^(SCA-6_Chr\d{1,3}v\d{1,3}_\d{1,9})$"
efp_cacao_tc,^(Tc\d+v2_g\d+)$
efp_camelina,"^(Csa\d{0,5}[gs]\d{0,6}.\d{0,3})$|^(At\d[cgm]\d{0,6})$"
efp_cannabis,(^C\d+$)|(^scaffold\d+$)|(^AGQN\d+$)
efp_canola,"^(Bna\D\d{1,3}g\d{1,8}\D)$|^(Bna\Dnng\d{1,8}\D)$"
efp_durum_wheat,"^(TrturSVE\d\D\d{1,3}G\d{1,12})$|^(TrturSVE\d\D\d{1,3}G\d{1,12}_ncBOCREA)$"
efp_euphorbia,"^(Ep_chr\d_g\d{1,8})$"
efp_eutrema,^(Thhalv\d{8}m\.g)$|^(XLOC_\d{6})$|^(nXLOC\d{6})$|^(At\dg\d{5})$
efp_grape,"^(VIT_\d{1,2}s\d{4}g\d{5})$|^CHRUN[a-z0-9_]{1,20}$|^CHR\d{1,2}[a-z0-9_]{1,2}$"
efp_human,"^(\d{6,7}(_[xsa])?_at)$|^(\D{0,12}\d{0,12})$|^(\d{1,12})$"
efp_kalanchoe,^(Kaladp\d+s\d+)$
efp_little_millet,^(TRINITY_DN\d+_c\d+_g\d+_i\d+)$
efp_lupin,"^(Luan_Oskar_.{1,12}_\d{1,12})$"
efp_maize,"^(AC[0-9]{6}\.[0-9]{1}_FG[0-9]{3})$|^(AC[0-9]{6}\.[0-9]{1}_FGT[0-9]{3})$|^(GRMZM(2|5)G[0-9]{6})$|^(GRMZM(2|5)G[0-9]{6}_T[0-9]{2})$|^(Zm\d+d\d+)$|^(Zm\d{1,10}eb\d{1,10})$|^(Zm\d{6}(_[xsa])?_at)$"
efp_maize_enzyme,"(?i)^[a-z0-9\s\-\(\)]{1,50}$"
efp_maize_lipid_map,"(?i)^[a-z0-9\s:;\/\[\]_\+\-]{1,64}$"
efp_maize_metabolite,"(?i)^[a-z0-9\s,\.\-\(\)_'\+]{1,60}$"
efp_maize_transcriptomics,"^(AC[0-9]{6}\.[0-9]{1}_FG[0-9]{3})$|^(AC[0-9]{6}\.[0-9]{1}_FGT[0-9]{3})$|^(GRMZM(2|5)G[0-9]{6})$|^(GRMZM(2|5)G[0-9]{6}_T[0-9]{2})$|^(Zm\d+d\d+)$|^(Zm\d{1,10}eb\d{1,10})$|^(Zm\d{6}(_[xsa])?_at)$"
efp_mangosteen,"^(DN\d{1,10})$"
efp_marchantia,"^(Mp.{1,3}g\d{1,7}\.?\d{1,3}?)$"
efp_medicago,"^(Medtr\d{1}g\d{6})$|^(Medtr\d{1}g\d{6}\.[0-9]{1})$|^(Mtr\.\d{4,5}\.\d+\.(S1|A1|S2)_(at|s_at|x_at|a_at))$|^(Msa\.\d+\.\d+\.(S1|A1|S2)_(at|s_at|x_at|a_at))$|^(Sme\.\d+\.\d+\.(S1|A1|S2)_(at|s_at|x_at|a_at))$|^(AFFX-(Bio|Cre|Dap|Lys|Phe|Thr|Trpn)(B|C|Dn|X)-(3|5|M)_at)$|^(AFFX-(Msa|Mtr)-(actin|gapc|gsta|ubq11|TrpnX)-(3|5|M)_(at|x_at|s_at))$|^(AFFX-r2-(Bs|Ec|P1)-(cre|dap|lys|phe|thr|bioB|bioC|bioD)-(3|5|M)_(at|s_at|x_at))$|^(AFFX-Mtr-ubq11-(3|5|M)_(at|s_at|x_at))$|^(AFFX-r2-Tag[A-Z]{1,2}_at)$|^(Medtr_v1_\d{6})$"
efp_oat,"(^N0\.HOG\d{1,10}$|^\D{1,10}\.*\d{1,10}.{1,10}\d{1,10}$)"
efp_phelipanche,"^(OrAeBC\d+_\d+\.\d{1,5})|(At\d[gcm]\d{1,6})$"
efp_physcomitrella,^(Pp)\d+s\d+_\d+V\d\.\d$|^Phypa_\d+$
