PROJECT                       VIEW                                   LOOKUP  ORTHO  DB_LOOKUP_TABLE       
efp_maize_transcriptomics     Early_Seed                             0       —      —                     
efp_maize_transcriptomics     maize_embryonic_leaf_development       0       —      —                     
efp_maize_transcriptomics     maize_atlas_v5                         0       —      —                     
efp_maize_transcriptomics     maize_kernel_v5                        0       —      —                     
efp_maize_transcriptomics     maize_stress_v5                        0       —      —                     

efp_mangosteen                mangosteen_fruit_ripening              0       —      —                     
efp_mangosteen                mangosteen_callus                      0       —      —                     
efp_mangosteen                mangosteen_seed_development            0       —      —                     
efp_mangosteen                mangosteen_seed_germination            0       —      —                     
efp_mangosteen                mangosteen_aril_vs_rind                0       —      —                     
efp_mangosteen                mangosteen_diseased_vs_normal          0       —      —                     

efp_marchantia                marchantia_organ_stress                0       —      —                     

efp_medicago                  medicago_mas                           1       —      at_mtgi_lookup_merged 
efp_medicago                  medicago_rma                           1       —      at_mtgi_lookup_merged 
efp_medicago                  medicago_seed                          1       —      at_mtgi_lookup_merged 

efp_oat                       oat                                    0       —      —                     

efp_phelipanche               phelipanche                            1       yes    phelipanche_lookup    

efp_physcomitrella            physcomitrella_db                      1       —      physcomitrella_lookup 

efp_poplar                    poplar                                 1       —      at_pgi_lookup         

efp_potato                    potato_dev                             1       —      gene_protein_lookup   
efp_potato                    potato_stress                          1       —      gene_protein_lookup   

efp_rice                      rice_leaf_gradient                     0       —      at_loc_lookup         
efp_rice                      rice_maize_comparison                  0       —      at_loc_lookup         
efp_rice                      rice_mas                               1       —      at_loc_lookup         
efp_rice                      ricestigma_mas                         1       —      at_loc_lookup         
efp_rice                      riceanoxia_mas                         1       —      at_loc_lookup         
efp_rice                      ricestress_mas                         1       —      at_loc_lookup         
efp_rice                      rice_rma                               1       —      at_loc_lookup         
efp_rice                      ricestigma_rma                         1       —      at_loc_lookup         
efp_rice                      riceanoxia_rma                         1       —      at_loc_lookup         
efp_rice                      ricestress_rma                         1       —      at_loc_lookup         
efp_rice                      rice_drought_heat_stress               0       —      at_loc_lookup         

efp_rice_metabolite           rice_metabolite                        0       —      at_loc_lookup         

efp_rice_transcriptomics      rice_leaf_gradient                     0       —      at_loc_lookup         
efp_rice_transcriptomics      rice_maize_comparison                  0       —      at_loc_lookup         
efp_rice_transcriptomics      rice_mas                               1       —      at_loc_lookup         
efp_rice_transcriptomics      ricestigma_mas                         1       —      at_loc_lookup         
efp_rice_transcriptomics      riceanoxia_mas                         1       —      at_loc_lookup         
efp_rice_transcriptomics      ricestress_mas                         1       —      at_loc_lookup         
efp_rice_transcriptomics      rice_rma                               1       —      at_loc_lookup         
efp_rice_transcriptomics      ricestigma_rma                         1       —      at_loc_lookup         
efp_rice_transcriptomics      riceanoxia_rma                         1       —      at_loc_lookup         
efp_rice_transcriptomics      ricestress_rma                         1       —      at_loc_lookup         
efp_rice_transcriptomics      rice_drought_heat_stress               0       —      at_loc_lookup         

efp_seedcoat                  seedcoat                               1       —      pbi_agi_lookup        

efp_selaginella               selaginella                            0       —      —                     

efp_sorghum                   sorghum_stress                         0       —      —                     
efp_sorghum                   sorghum_developmental                  0       —      —                     
